   Player_Details,Weight,Age,Salary
Nikola Mirotic Chicago Bulls  PF,220,25,5543725
E'Twaun Moore Chicago Bulls Purdue SG,191,27,1015421
Joakim Noah Chicago Bulls Florida C,232,31,13400000
Bobby Portis Chicago Bulls Arkansas PF,230,21,1391160
Derrick Rose Chicago Bulls Memphis PG,190,27,20093064
Tony Snell Chicago Bulls New Mexico SF,200,24,1535880
Matthew Dellavedova Cleveland Cavaliers Saint Mary's PG,198,25,1147276
Channing Frye Cleveland Cavaliers Arizona PF,255,33,8193029
Kyrie Irving Cleveland Cavaliers Duke PG,193,24,16407501
LeBron James Cleveland Cavaliers  SF,250,31,22970500
Richard Jefferson Cleveland Cavaliers Arizona SF,233,35,947276
Dahntay Jones Cleveland Cavaliers Duke SG,225,35,
James Jones Cleveland Cavaliers Miami (FL) SG,218,35,947276
Sasha Kaun Cleveland Cavaliers Kansas C,260,31,1276000
Kevin Love Cleveland Cavaliers UCLA PF,251,27,19689000
Jordan McRae Cleveland Cavaliers Tennessee SG,179,25,111196
Timofey Mozgov Cleveland Cavaliers  C,275,29,4950000
Iman Shumpert Cleveland Cavaliers Georgia Tech SG,220,25,8988765
J.R. Smith Cleveland Cavaliers  SG,225,30,5000000
Tristan Thompson Cleveland Cavaliers Texas C,238,25,14260870
Mo Williams Cleveland Cavaliers Alabama PG,198,33,2100000
Joel Anthony Detroit Pistons UNLV C,245,33,2500000
Aron Baynes Detroit Pistons Washington State C,260,29,6500000
Steve Blake Detroit Pistons Maryland PG,172,36,2170465
Lorenzo Brown Detroit Pistons North Carolina State PG,189,25,111444
Reggie Bullock Detroit Pistons North Carolina SF,205,25,1252440
Kentavious Caldwell-Pope Detroit Pistons Georgia SG,205,23,2891760
Spencer Dinwiddie Detroit Pistons Colorado PG,200,23,845059
Andre Drummond Detroit Pistons Connecticut C,279,22,3272091
Tobias Harris Detroit Pistons Tennessee SF,235,23,16000000
Darrun Hilliard Detroit Pistons Villanova SF,205,23,600000
Reggie Jackson Detroit Pistons Boston College PG,208,26,13913044
Stanley Johnson Detroit Pistons Arizona SF,245,20,2841960
Jodie Meeks Detroit Pistons Kentucky SG,210,28,6270000
Marcus Morris Detroit Pistons Kansas PF,235,26,5000000
Anthony Tolliver Detroit Pistons Creighton PF,240,31,3000000
Lavoy Allen Indiana Pacers Temple PF,255,27,4050000
Rakeem Christmas Indiana Pacers Syracuse PF,250,24,1007026
Monta Ellis Indiana Pacers  SG,185,30,10300000
Paul George Indiana Pacers Fresno State SF,220,26,17120106
George Hill Indiana Pacers IUPUI PG,188,30,8000000
Jordan Hill Indiana Pacers Arizona C,235,28,4000000
Solomon Hill Indiana Pacers Arizona SF,225,25,1358880
Ty Lawson Indiana Pacers North Carolina PG,195,28,211744
Ian Mahinmi Indiana Pacers  C,250,29,4000000
C.J. Miles Indiana Pacers  SF,231,29,4394225
Glenn Robinson III Indiana Pacers Michigan SG,222,22,1100000
Rodney Stuckey Indiana Pacers Eastern Washington PG,205,30,7000000
Myles Turner Indiana Pacers Texas PF,243,20,2357760
Shayne Whittington Indiana Pacers Western Michigan PF,250,25,845059
Joe Young Indiana Pacers Oregon PG,180,23,1007026
Giannis Antetokounmpo Milwaukee Bucks  SF,222,21,1953960
Jerryd Bayless Milwaukee Bucks Arizona PG,200,27,3000000
Michael Carter-Williams Milwaukee Bucks Syracuse PG,190,24,2399040
Jared Cunningham Milwaukee Bucks Oregon State SG,195,25,947276
Tyler Ennis Milwaukee Bucks Syracuse PG,194,21,1662360
John Henson Milwaukee Bucks North Carolina PF,229,25,2943221
Damien Inglis Milwaukee Bucks  SF,246,21,855000
O.J. Mayo Milwaukee Bucks USC SG,210,28,8000000
Khris Middleton Milwaukee Bucks Texas A&M SG,234,24,14700000
Greg Monroe Milwaukee Bucks Georgetown C,265,26,16407500
Steve Novak Milwaukee Bucks Marquette SF,225,32,295327
Johnny O'Bryant III Milwaukee Bucks LSU PF,257,23,845059
Jabari Parker Milwaukee Bucks Duke PF,250,21,5152440
Miles Plumlee Milwaukee Bucks Duke C,249,27,2109294
Greivis Vasquez Milwaukee Bucks Maryland PG,217,29,6600000
Rashad Vaughn Milwaukee Bucks UNLV SG,202,19,1733040
Justin Anderson Dallas Mavericks Virginia SG,228,22,1449000
J.J. Barea Dallas Mavericks Northeastern PG,185,31,4290000
Jeremy Evans Dallas Mavericks Western Kentucky SF,200,28,1100602
Raymond Felton Dallas Mavericks North Carolina PG,205,31,3950313
Devin Harris Dallas Mavericks Wisconsin PG,185,33,4053446
David Lee Dallas Mavericks Florida PF,245,33,2085671
Wesley Matthews Dallas Mavericks Marquette SG,220,29,16407500
JaVale McGee Dallas Mavericks Nevada C,270,28,1270964
Salah Mejri Dallas Mavericks  C,245,29,525093
Dirk Nowitzki Dallas Mavericks  PF,245,37,8333334
Zaza Pachulia Dallas Mavericks  C,275,32,5200000
Chandler Parsons Dallas Mavericks Florida SF,230,27,15361500
Dwight Powell Dallas Mavericks Stanford PF,240,24,845059
Charlie Villanueva Dallas Mavericks Connecticut PF,232,31,947276
Deron Williams Dallas Mavericks Illinois PG,200,31,5378974
Trevor Ariza Houston Rockets UCLA SF,215,30,8193030
Michael Beasley Houston Rockets Kansas State SF,235,27,306527
Patrick Beverley Houston Rockets Arkansas PG,185,27,6486486
Corey Brewer Houston Rockets Florida SG,186,30,8229375
Clint Capela Houston Rockets  PF,240,22,1242720
Sam Dekker Houston Rockets Wisconsin SF,230,22,1646400
Andrew Goudelock Houston Rockets Charleston PG,200,27,200600
James Harden Houston Rockets Arizona State SG,220,26,15756438
Montrezl Harrell Houston Rockets Louisville PF,240,22,1000000
Dwight Howard Houston Rockets  C,265,30,22359364
Terrence Jones Houston Rockets Kentucky PF,252,24,2489530
K.J. McDaniels Houston Rockets Clemson SG,205,23,3189794
Donatas Motiejunas Houston Rockets  PF,222,25,2288205
Josh Smith Houston Rockets  C,225,30,947276
Jason Terry Houston Rockets Arizona SG,185,38,947276
Jordan Adams Memphis Grizzlies UCLA SG,209,21,1404600
Tony Allen Memphis Grizzlies Oklahoma State SG,213,34,5158539
Chris Andersen Memphis Grizzlies Blinn College PF,245,37,5000000
Matt Barnes Memphis Grizzlies UCLA SF,226,36,3542500
Vince Carter Memphis Grizzlies North Carolina SG,220,39,4088019
Mike Conley Memphis Grizzlies Ohio State PG,175,28,9588426
Bryce Cotton Memphis Grizzlies Providence PG,165,23,700902
Jordan Farmar Memphis Grizzlies UCLA PG,180,29,
Marc Gasol Memphis Grizzlies  C,255,31,19688000
JaMychal Green Memphis Grizzlies Alabama PF,227,25,845059
P.J. Hairston Memphis Grizzlies North Carolina SF,230,23,1201440
Jarell Martin Memphis Grizzlies LSU PF,239,22,1230840
Ray McCallum Memphis Grizzlies Detroit PG,190,24,
Xavier Munford Memphis Grizzlies Rhode Island PG,180,24,
Zach Randolph Memphis Grizzlies Michigan State PF,260,34,9638555
Lance Stephenson Memphis Grizzlies Cincinnati SF,230,25,9000000
Alex Stepheson Memphis Grizzlies USC PF,270,28,
Brandan Wright Memphis Grizzlies North Carolina PF,210,28,5464000
Alexis Ajinca New Orleans Pelicans  C,248,28,4389607
Ryan Anderson New Orleans Pelicans California PF,240,28,8500000
Omer Asik New Orleans Pelicans  C,255,29,9213483
Luke Babbitt New Orleans Pelicans Nevada SF,225,26,1100602
Norris Cole New Orleans Pelicans Cleveland State PG,175,27,3036927
Dante Cunningham New Orleans Pelicans Villanova PF,230,29,2850000
Anthony Davis New Orleans Pelicans Kentucky PF,253,23,7070730
Bryce Dejean-Jones New Orleans Pelicans Iowa State SG,203,23,169883
Toney Douglas New Orleans Pelicans Florida State PG,195,30,1164858
James Ennis New Orleans Pelicans Long Beach State SF,210,25,845059
Tyreke Evans New Orleans Pelicans Memphis SG,220,26,10734586
Tim Frazier New Orleans Pelicans Penn State PG,170,25,845059
Alonzo Gee New Orleans Pelicans Alabama SF,225,29,1320000
Eric Gordon New Orleans Pelicans Indiana SG,215,27,15514031
Jordan Hamilton New Orleans Pelicans Texas SG,220,25,1015421
Jrue Holiday New Orleans Pelicans UCLA PG,205,25,10595507
Orlando Johnson New Orleans Pelicans UC Santa Barbara SG,220,27,55722
Kendrick Perkins New Orleans Pelicans  C,270,31,947276
Quincy Pondexter New Orleans Pelicans Washington SF,220,28,3382023
LaMarcus Aldridge San Antonio Spurs Texas PF,240,30,19689000
Kyle Anderson San Antonio Spurs UCLA SF,230,22,1142880
Matt Bonner San Antonio Spurs Florida C,235,36,947276
Boris Diaw San Antonio Spurs  C,250,34,7500000
Tim Duncan San Antonio Spurs Wake Forest C,250,40,5250000
Manu Ginobili San Antonio Spurs  SG,205,38,2814000
Danny Green San Antonio Spurs North Carolina SG,215,28,10000000
Kawhi Leonard San Antonio Spurs San Diego State SF,230,24,16407500
Boban Marjanovic San Antonio Spurs  C,290,27,1200000
Kevin Martin San Antonio Spurs Western Carolina SG,199,33,200600
Andre Miller San Antonio Spurs Utah PG,200,40,250750
Patty Mills San Antonio Spurs Saint Mary's PG,185,27,3578947
Tony Parker San Antonio Spurs  PG,185,34,13437500
Jonathon Simmons San Antonio Spurs Houston SG,195,26,525093
David West San Antonio Spurs Xavier PF,250,35,1499187
Kent Bazemore Atlanta Hawks Old Dominion SF,201,26,2000000
Tim Hardaway Jr. Atlanta Hawks Michigan SG,205,24,1304520
Kirk Hinrich Atlanta Hawks Kansas SG,190,35,2854940
Al Horford Atlanta Hawks Florida C,245,30,12000000
Kris Humphries Atlanta Hawks Minnesota PF,235,31,1000000
Kyle Korver Atlanta Hawks Creighton SG,212,35,5746479
Paul Millsap Atlanta Hawks Louisiana Tech PF,246,31,18671659
Mike Muscala Atlanta Hawks Bucknell PF,240,24,947276
Lamar Patterson Atlanta Hawks Pittsburgh SG,225,24,525093
Dennis Schroder Atlanta Hawks  PG,172,22,1763400
Mike Scott Atlanta Hawks Virginia PF,237,27,3333333
Thabo Sefolosha Atlanta Hawks  SF,220,32,4000000
Tiago Splitter Atlanta Hawks  C,245,31,9756250
Walter Tavares Atlanta Hawks  C,260,24,1000000
Jeff Teague Atlanta Hawks Wake Forest PG,186,27,8000000
Nicolas Batum Charlotte Hornets  SG,200,27,13125306
Troy Daniels Charlotte Hornets Virginia Commonwealth SG,205,24,947276
Jorge Gutierrez Charlotte Hornets California PG,189,27,189455
Tyler Hansbrough Charlotte Hornets North Carolina PF,250,30,947276
Aaron Harrison Charlotte Hornets Kentucky SG,210,21,525093
Spencer Hawes Charlotte Hornets Washington PF,245,28,6110034
